# no name threshold no_components component_list
0 Bcd     690 1 0
1 Hb      12 1 1
2 Hb2     375 1 28
3 H5_NR   0.5 1 7
4 H5_R    0.5 1 21
5 HbTot   400 51 1 28 28 22 23 24 25 26 27 30 31 32 33 34 35 42 43 44 45 46 47 48 49 50 51 52 53 22 23 24 25 26 27 30 31 32 33 34 35 42 43 44 45 46 47 48 49 50 51 52 53
6 Cad     690 1 8
7 Kni     12 1 9
8 Kni2    375 1 29
9 K5_NR   0.5 1 15
10 K5_R   0.5 1 27
11 KniTot 400 51 9 29 29 16 17 18 19 20 21 36 37 38 39 40 31 42 43 44 45 46 47 48 49 50 51 52 53 16 17 18 19 20 21 36 37 38 39 40 31 42 43 44 45 46 47 48 49 50 51 52 53
