# reac_no type rate_no par1 par2 prod1 prod2
0 p 0 0 -1 0 1 bcd_production
1 d 1 0 -1 -1 -1 bcd_decay
2 p 2 7 -1 1 1 hb_production
3 d 3 1 -1 -1 -1 hb_mm_decay
4 b 4 2 0 3 -1 hb_promotor_binding_1st
5 u 5 3 -1 2 0 hb_promotor_unbinding_1st
6 b 4 3 0 4 -1 hb_promotor_binding_2nd
7 u 6 4 -1 3 0 hb_promotor_unbinding_2nd
8 b 4 4 0 5 -1 hb_promotor_binding_3rd
9 u 7 5 -1 4 0 hb_promotor_unbinding_3rd
10 b 4 5 0 6 -1 hb_promotor_binding_4th
11 u 8 6 -1 5 0 hb_promotor_unbinding_4th
12 b 4 6 0 7 -1 hb_promotor_binding_5th
13 u 9 7 -1 6 0 hb_promotor_unbinding_5th
14 p 0 0 -1 8 1 nos_production
15 d 11 8 -1 -1 -1 nos_decay
16 p 12 15 -1 9 1 rep_production
17 d 13 9 -1 -1 -1 rep_mm_decay
18 b 14 10 8 11 -1 rep_promotor_binding_1st
19 u 15 11 -1 10 8 rep_promotor_unbinding_1st
20 b 14 11 8 12 -1 rep_promotor_binding_2nd
21 u 16 12 -1 11 8 rep_promotor_unbinding_2nd
22 b 14 12 8 13 -1 rep_promotor_binding_3rd
23 u 17 13 -1 12 8 rep_promotor_unbinding_3rd
24 b 14 13 8 14 -1 rep_promotor_binding_4th
25 u 18 14 -1 13 8 rep_promotor_unbinding_4th
26 b 14 14 8 15 -1 rep_promotor_binding_5th
27 u 19 15 -1 14 8 rep_promotor_unbinding_5th
28 b 20 2 29 16 -1 hb_promotor_repress
29 u 21 16 -1 2 29 hb_promotor_free
30 b 20 3 29 17 -1 hb_promotor_bound1_repress
31 u 21 17 -1 3 29 hb_promotor_bound1_free
32 b 20 4 29 18 -1 hb_promotor_bound2_repress
33 u 21 18 -1 4 29 hb_promotor_bound2_free
34 b 20 5 29 19 -1 hb_promotor_bound3_repress
35 u 21 19 -1 5 29 hb_promotor_bound3_free
36 b 20 6 29 20 -1 hb_promotor_bound4_repress
37 u 21 20 -1 6 29 hb_promotor_bound4_free
38 b 20 7 29 21 -1 hb_promotor_bound5_repress
39 u 21 21 -1 7 29 hb_promotor_bound5_free
40 b 22 10 28 22 -1 rep_promotor_repress
41 u 23 22 -1 10 28 rep_promotor_free
42 b 22 11 28 23 -1 rep_promotor_bound1_repress
43 u 23 23 -1 11 28 rep_promotor_bound1_free
44 b 22 12 28 24 -1 rep_promotor_bound2_repress
45 u 23 24 -1 12 28 rep_promotor_bound2_free
46 b 22 13 28 25 -1 rep_promotor_bound3_repress
47 u 23 25 -1 13 28 rep_promotor_bound3_free
48 b 22 14 28 26 -1 rep_promotor_bound4_repress
49 u 23 26 -1 14 28 rep_promotor_bound4_free
50 b 22 15 28 27 -1 rep_promotor_bound5_repress
51 u 23 27 -1 15 28 rep_promotor_bound5_free
52 b 4 0 16 17 -1 hb_promotor_repressed_binding_1st
53 u 5 17 -1 0 16 hb_promotor_repressed_unbinding_1st
54 b 4 0 17 18 -1 hb_promotor_repressed_binding_2nd
55 u 6 18 -1 0 17 hb_promotor_repressed_unbinding_2nd
56 b 4 0 18 19 -1 hb_promotor_repressed_binding_3rd
57 u 7 19 -1 0 18 hb_promotor_repressed_unbinding_3rd
58 b 4 0 19 20 -1 hb_promotor_repressed_binding_4th
59 u 8 20 -1 0 19 hb_promotor_repressed_unbinding_4th
60 b 4 0 20 21 -1 hb_promotor_repressed_binding_5th
61 u 9 21 -1 0 20 hb_promotor_repressed_unbinding_5th
62 b 14 8 22 23 -1 rep_promotor_repressed_binding_1st
63 u 15 23 -1 8 22 rep_promotor_repressed_unbinding_1st
64 b 14 8 23 24 -1 rep_promotor_repressed_binding_2nd
65 u 16 24 -1 8 23 rep_promotor_repressed_unbinding_2nd
66 b 14 8 24 25 -1 rep_promotor_repressed_binding_3rd
67 u 17 25 -1 8 24 rep_promotor_repressed_unbinding_3rd
68 b 14 8 25 26 -1 rep_promotor_repressed_binding_4th
69 u 18 26 -1 8 25 rep_promotor_repressed_unbinding_4th
70 b 14 8 26 27 -1 rep_promotor_repressed_binding_5th
71 u 19 27 -1 8 26 rep_promotor_repressed_unbinding_5th
72 D 24 1 1 28 -1 hb_dimerize
73 u 25 28 -1 1 1 hb_dedimerize
74 D 24 9 9 29 -1 rep_dimerize
75 u 25 29 -1 9 9 rep_dedimerize
76 d 26 28 -1 -1 -1 hb_dm_decay
77 d 27 29 -1 -1 -1 rep_dm_decay
78 b 30 2 28 30 -1 hb_promotor_activate
79 u 31 30 -1 2 28 hb_promotor_deactivate
80 b 30 3 28 31 -1 hb_promotor_bound1_activate
81 u 31 31 -1 3 28 hb_promotor_bound1_deactivate
82 b 30 4 28 32 -1 hb_promotor_bound2_activate
83 u 31 32 -1 4 28 hb_promotor_bound2_deactivate
84 b 30 5 28 33 -1 hb_promotor_bound3_activate
85 u 31 33 -1 5 28 hb_promotor_bound3_deactivate
86 b 30 6 28 34 -1 hb_promotor_bound4_activate
87 u 31 34 -1 6 28 hb_promotor_bound4_deactivate
88 b 30 7 28 35 -1 hb_promotor_bound5_activate
89 u 31 35 -1 7 28 hb_promotor_bound5_deactivate
90 b 32 10 29 36 -1 rep_promotor_activate
91 u 33 36 -1 10 29 rep_promotor_deactivate
92 b 32 11 29 37 -1 rep_promotor_bound1_activate
93 u 33 37 -1 11 29 rep_promotor_bound1_deactivate
94 b 32 12 29 38 -1 rep_promotor_bound2_activate
95 u 33 38 -1 12 29 rep_promotor_bound2_deactivate
96 b 32 13 29 39 -1 rep_promotor_bound3_activate
97 u 33 39 -1 13 29 rep_promotor_bound3_deactivate
98 b 32 14 29 40 -1 rep_promotor_bound4_activate
99 u 33 40 -1 14 29 rep_promotor_bound4_deactivate
100 b 32 15 29 41 -1 rep_promotor_bound5_activate
101 u 33 41 -1 15 29 rep_promotor_bound5_deactivate
102 b 30 16 28 42 -1 hb_promotor_repressed_activate
103 u 31 42 -1 16 28 hb_promotor_act_rep_deactivate
104 b 30 17 28 43 -1 hb_promotor_repressed_bound1_activate
105 u 31 43 -1 17 28 hb_promotor_act_rep_bound1_deactivate
106 b 30 18 28 44 -1 hb_promotor_repressed_bound2_activate
107 u 31 44 -1 18 28 hb_promotor_act_rep_bound2_deactivate
108 b 30 19 28 45 -1 hb_promotor_repressed_bound3_activate
109 u 31 45 -1 19 28 hb_promotor_act_rep_bound3_deactivate
110 b 30 20 28 46 -1 hb_promotor_repressed_bound4_activate
111 u 31 46 -1 20 28 hb_promotor_act_rep_bound4_deactivate
112 b 30 21 28 47 -1 hb_promotor_repressed_bound5_activate
113 u 31 47 -1 21 28 hb_promotor_act_rep_bound5_deactivate
114 b 32 22 29 48 -1 rep_promotor_repressed_activate
115 u 33 48 -1 22 29 rep_promotor_act_rep_deactivate
116 b 32 23 29 49 -1 rep_promotor_repressed_bound1_activate
117 u 33 49 -1 23 29 rep_promotor_act_rep_bound1_deactivate
118 b 32 24 29 50 -1 rep_promotor_repressed_bound2_activate
119 u 33 50 -1 24 29 rep_promotor_act_rep_bound2_deactivate
120 b 32 25 29 51 -1 rep_promotor_repressed_bound3_activate
121 u 33 51 -1 25 29 rep_promotor_act_rep_bound3_deactivate
122 b 32 26 29 52 -1 rep_promotor_repressed_bound4_activate
123 u 33 52 -1 26 29 rep_promotor_act_rep_bound4_deactivate
124 b 32 27 29 53 -1 rep_promotor_repressed_bound5_activate
125 u 33 53 -1 27 29 rep_promotor_act_rep_bound5_deactivate
126 b 20 30 29 42 -1 hb_promotor_activated_repress
127 u 21 42 -1 30 29 hb_promotor_act_rep_free
128 b 20 31 29 43 -1 hb_promotor_activated_bound1_repress
129 u 21 43 -1 31 29 hb_promotor_act_rep_bound1_free
130 b 20 32 29 44 -1 hb_promotor_activated_bound2_repress
131 u 21 44 -1 32 29 hb_promotor_act_rep_bound2_free
132 b 20 33 29 45 -1 hb_promotor_activated_bound3_repress
133 u 21 45 -1 33 29 hb_promotor_act_rep_bound3_free
134 b 20 34 29 46 -1 hb_promotor_activated_bound4_repress
135 u 21 46 -1 34 29 hb_promotor_act_rep_bound4_free
136 b 20 35 29 47 -1 hb_promotor_activated_bound5_repress
137 u 21 47 -1 35 29 hb_promotor_act_rep_bound5_free
138 b 22 36 28 48 -1 rep_promotor_activated_repress
139 u 23 48 -1 36 28 rep_promotor_act_rep_free
140 b 22 37 28 49 -1 rep_promotor_activated_bound1_repress
141 u 23 49 -1 37 28 rep_promotor_act_rep_bound1_free
142 b 22 38 28 50 -1 rep_promotor_activated_bound2_repress
143 u 23 50 -1 38 28 rep_promotor_act_rep_bound2_free
144 b 22 39 28 51 -1 rep_promotor_activated_bound3_repress
145 u 23 51 -1 39 28 rep_promotor_act_rep_bound3_free
146 b 22 40 28 52 -1 rep_promotor_activated_bound4_repress
147 u 23 52 -1 40 28 rep_promotor_act_rep_bound4_free
148 b 22 41 28 53 -1 rep_promotor_activated_bound5_repress
149 u 23 53 -1 41 28 rep_promotor_act_rep_bound5_free
150 b 4 30 0 31 -1 hb_promotor_activated_binding_1st
151 u 5 31 -1 30 0 hb_promotor_activated_unbinding_1st
152 b 4 31 0 32 -1 hb_promotor_activated_binding_2nd
153 u 6 32 -1 31 0 hb_promotor_activated_unbinding_2nd
154 b 4 32 0 33 -1 hb_promotor_activated_binding_3rd
155 u 7 33 -1 32 0 hb_promotor_activated_unbinding_3rd
156 b 4 33 0 34 -1 hb_promotor_activated_binding_4th
157 u 8 34 -1 33 0 hb_promotor_activated_unbinding_4th
158 b 4 34 0 35 -1 hb_promotor_activated_binding_5th
159 u 9 35 -1 34 0 hb_promotor_activated_unbinding_5th
160 b 14 36 8 37 -1 rep_promotor_activated_binding_1st
161 u 15 37 -1 36 8 rep_promotor_activated_unbinding_1st
162 b 14 37 8 38 -1 rep_promotor_activated_binding_2nd
163 u 16 38 -1 37 8 rep_promotor_activated_unbinding_2nd
164 b 14 38 8 39 -1 rep_promotor_activated_binding_3rd
165 u 17 39 -1 38 8 rep_promotor_activated_unbinding_3rd
166 b 14 39 8 40 -1 rep_promotor_activated_binding_4th
167 u 18 40 -1 39 8 rep_promotor_activated_unbinding_4th
168 b 14 40 8 41 -1 rep_promotor_activated_binding_5th
169 u 19 41 -1 40 8 rep_promotor_activated_unbinding_5th
170 b 4 42 0 43 -1 hb_promotor_act_rep_binding_1st
171 u 5 43 -1 42 0 hb_promotor_act_rep_unbinding_1st
172 b 4 43 0 44 -1 hb_promotor_act_rep_binding_2nd
173 u 6 44 -1 43 0 hb_promotor_act_rep_unbinding_2nd
174 b 4 44 0 45 -1 hb_promotor_act_rep_binding_3rd
175 u 7 45 -1 44 0 hb_promotor_act_rep_unbinding_3rd
176 b 4 45 0 46 -1 hb_promotor_act_rep_binding_4th
177 u 8 46 -1 45 0 hb_promotor_act_rep_unbinding_4th
178 b 4 46 0 47 -1 hb_promotor_act_rep_binding_5th
179 u 9 47 -1 46 0 hb_promotor_act_rep_unbinding_5th
180 b 14 48 8 49 -1 rep_promotor_act_rep_binding_1st
181 u 15 49 -1 48 8 rep_promotor_act_rep_unbinding_1st
182 b 14 49 8 50 -1 rep_promotor_act_rep_binding_2nd
183 u 16 50 -1 49 8 rep_promotor_act_rep_unbinding_2nd
184 b 14 50 8 51 -1 rep_promotor_act_rep_binding_3rd
185 u 17 51 -1 50 8 rep_promotor_act_rep_unbinding_3rd
186 b 14 51 8 52 -1 rep_promotor_act_rep_binding_4th
187 u 18 52 -1 51 8 rep_promotor_act_rep_unbinding_4th
188 b 14 52 8 53 -1 rep_promotor_act_rep_binding_5th
189 u 19 53 -1 52 8 rep_promotor_act_rep_unbinding_5th
190 p 28 30 -1 1 1 hb_production_aa_0_bound
191 p 28 31 -1 1 1 hb_production_aa_1_bound
192 p 28 32 -1 1 1 hb_production_aa_2_bound
193 p 28 33 -1 1 1 hb_production_aa_3_bound
194 p 28 34 -1 1 1 hb_production_aa_4_bound
195 p 28 35 -1 1 1 hb_production_aa_5_bound
196 p 29 36 -1 9 1 rep_production_aa_0_bound
197 p 29 37 -1 9 1 rep_production_aa_1_bound
198 p 29 38 -1 9 1 rep_production_aa_2_bound
199 p 29 39 -1 9 1 rep_production_aa_3_bound
200 p 29 40 -1 9 1 rep_production_aa_4_bound
201 p 29 41 -1 9 1 rep_production_aa_5_bound
